method,duration,bias,cost,tau_p,tau_v
KDE,1,0.216900399,0.341099501,86164.091,3600
AKDEc,1,0.172255035,42.79182911,86164.091,3600
AKDE,1,0.665290481,12.98092413,86164.091,3600
pHREML_wAKDEc,1,0.107866626,20.13087535,86164.091,3600
KDE,1,0.18701131,0.119632721,86164.091,3600
pHREML_AKDEc,1,0.14598381,18.83063149,86164.091,3600
AKDEc,1,0.403606717,12.93886542,86164.091,3600
pHREML_wAKDEc,1,0.140485606,19.27804637,86164.091,3600
KDE,1,0.135413426,0.307881832,86164.091,3600
AKDE,1,0.488598761,25.39485574,86164.091,3600
pHREML_AKDEc,1,0.201576165,37.46709919,86164.091,3600
pHREML_AKDEc,1,0.501616984,19.89255857,86164.091,3600
AKDE,1,0.42373797,11.3782227,86164.091,3600
AKDEc,1,0.304480262,21.49456739,86164.091,3600
AKDEc,1,0.265014252,13.59931445,86164.091,3600
pHREML_wAKDEc,1,0.511436705,21.19289279,86164.091,3600
KDE,1,0.052472088,0.332707882,86164.091,3600
AKDE,1,0.09748156,12.72505903,86164.091,3600
pHREML_AKDEc,1,0.320568708,18.96120214,86164.091,3600
AKDEc,1,0.064651365,12.05505395,86164.091,3600
pHREML_wAKDEc,1,0.210270835,51.88460374,86164.091,3600
KDE,1,0.161315627,0.334508896,86164.091,3600
pHREML_AKDEc,1,0.379012828,34.80549288,86164.091,3600
pHREML_wAKDEc,1,0.309973019,21.20229435,86164.091,3600
KDE,1,0.058988075,0.121339798,86164.091,3600
AKDE,1,0.537858904,12.04742098,86164.091,3600
pHREML_AKDEc,1,0.072191811,21.9830482,86164.091,3600
AKDE,1,0.126577228,11.07079268,86164.091,3600
AKDEc,1,0.33341488,12.72541928,86164.091,3600
AKDEc,1,0.083273588,14.05821681,86164.091,3600
pHREML_wAKDEc,1,0.367076207,34.81707883,86164.091,3600
KDE,1,0.205650938,0.307338476,86164.091,3600
pHREML_wAKDEc,1,0.072177716,22.17195272,86164.091,3600
KDE,1,0.075538192,0.371570587,86164.091,3600
pHREML_AKDEc,1,0.420287828,22.50873566,86164.091,3600
AKDE,1,0.667062549,11.56107664,86164.091,3600
pHREML_AKDEc,1,0.095209317,18.76537275,86164.091,3600
AKDE,1,0.263409073,14.94128728,86164.091,3600
AKDEc,1,0.40759063,11.55276918,86164.091,3600
AKDEc,1,0.166481582,12.97691965,86164.091,3600
pHREML_wAKDEc,1,0.098730406,18.88623548,86164.091,3600
KDE,1,0.157182571,0.111317158,86164.091,3600
pHREML_wAKDEc,1,0.454845375,28.07667494,86164.091,3600
KDE,1,0.101771414,0.122809172,86164.091,3600
pHREML_AKDEc,1,0.5049472,19.30970335,86164.091,3600
AKDE,1,0.50968396,13.00199556,86164.091,3600
pHREML_AKDEc,1,0.198253153,21.87138534,86164.091,3600
AKDE,1,0.291449158,17.61805749,86164.091,3600
pHREML_wAKDEc,1,0.508088202,19.40382051,86164.091,3600
KDE,1,0.185843434,0.121160746,86164.091,3600
AKDEc,1,0.311161125,22.47037768,86164.091,3600
AKDE,1,0.412790044,12.20196843,86164.091,3600
pHREML_wAKDEc,1,0.201079181,21.86447215,86164.091,3600
KDE,1,0.095602048,0.365517139,86164.091,3600
AKDEc,1,0.180374756,23.58160901,86164.091,3600
AKDEc,1,0.260189779,12.48198128,86164.091,3600
AKDE,1,0.28110833,13.529526,86164.091,3600
pHREML_AKDEc,1,0.397785497,30.30171728,86164.091,3600
AKDEc,1,0.179394694,13.20038915,86164.091,3600
pHREML_AKDEc,1,0.231539937,24.21860361,86164.091,3600
pHREML_AKDEc,1,0.302823655,20.18385458,86164.091,3600
pHREML_AKDEc,1,0.208689901,21.19894075,86164.091,3600
pHREML_wAKDEc,1,0.427643874,26.91548228,86164.091,3600
KDE,1,0.18117879,0.11981225,86164.091,3600
pHREML_wAKDEc,1,0.30323844,20.29195428,86164.091,3600
KDE,1,0.079549169,0.119591713,86164.091,3600
pHREML_wAKDEc,1,0.246868047,35.03333259,86164.091,3600
KDE,1,0.055719905,0.342972755,86164.091,3600
AKDE,1,0.434847067,14.9304142,86164.091,3600
pHREML_wAKDEc,1,0.209165636,21.56775975,86164.091,3600
KDE,1,0.151246299,0.119470835,86164.091,3600
AKDE,1,0.232193172,16.1696918,86164.091,3600
AKDEc,1,0.270660837,14.4018662,86164.091,3600
AKDE,1,0.140236127,39.363626,86164.091,3600
AKDE,1,0.347998708,21.74395609,86164.091,3600
AKDEc,1,0.146275255,16.4314723,86164.091,3600
pHREML_AKDEc,1,0.32463007,20.07082725,86164.091,3600
AKDEc,1,0.092690655,12.45975327,86164.091,3600
AKDEc,1,0.219996849,27.43165994,86164.091,3600
pHREML_wAKDEc,1,0.334595363,19.99765015,86164.091,3600
KDE,1,0.073082491,0.110571623,86164.091,3600
pHREML_AKDEc,1,0.175189519,26.47986412,86164.091,3600
pHREML_AKDEc,1,0.100377924,22.19955897,86164.091,3600
AKDE,1,0.139535399,12.55009437,86164.091,3600
AKDEc,1,0.091154664,12.18782544,86164.091,3600
pHREML_wAKDEc,1,0.182996989,27.65412354,86164.091,3600
KDE,1,0.10395802,0.342276573,86164.091,3600
pHREML_AKDEc,1,0.261616628,38.3780241,86164.091,3600
pHREML_wAKDEc,1,0.103608026,39.41869974,86164.091,3600
KDE,1,0.296945104,0.117030859,86164.091,3600
pHREML_AKDEc,1,0.101983463,20.36846161,86164.091,3600
AKDE,1,0.473113433,21.10042644,86164.091,3600
pHREML_wAKDEc,1,0.101906411,19.66041422,86164.091,3600
KDE,1,0.193845553,0.309361219,86164.091,3600
AKDE,1,0.948611888,21.20685935,86164.091,3600
AKDEc,1,0.292084349,17.10431528,86164.091,3600
pHREML_wAKDEc,1,0.263963893,32.95730996,86164.091,3600
KDE,1,0.157315252,0.117797136,86164.091,3600
AKDE,1,0.491131248,14.20431137,86164.091,3600
AKDEc,1,0.567154336,14.49758339,86164.091,3600
AKDE,1,0.379066994,11.6239922,86164.091,3600
pHREML_AKDEc,1,0.356479792,25.24686933,86164.091,3600
AKDEc,1,0.307286812,14.04042792,86164.091,3600
AKDEc,1,0.23691688,19.16696501,86164.091,3600
pHREML_AKDEc,1,0.751948109,20.83544421,86164.091,3600
pHREML_AKDEc,1,0.35986743,19.82424045,86164.091,3600
pHREML_wAKDEc,1,0.340652196,26.27312279,86164.091,3600
KDE,1,0.185296284,0.14072752,86164.091,3600
