tau_p,tau_v,dur,dti,error,error_lci,error_uci
86400.002,3600,86400,86400,,,
86400.002,3600,86400,43200,,,
86400.002,3600,86400,21600,,,
86400.002,3600,86400,10800,-0.217014143,-0.326998103560295,-0.103053159433352
86400.002,3600,86400,5400,-0.173642201,-0.230695436774286,-0.11559911743041
86400.002,3600,86400,2700,-0.093843526,-0.150368486170791,-0.0364343071405037
86400.002,3600,86400,1350,-0.097560996,-0.156035850236291,-0.0381352357809549
86400.002,3600,86400,675,-0.093796453,-0.15048152432747,-0.0362221066917104
86400.002,3600,86400,338,-0.112700007,-0.171364599133494,-0.0530616099464989
86400.002,3600,86400,169,-0.111861348,-0.180041292282563,-0.0423630171480498
86400.002,3600,86400,84,-0.086190578,-0.0969118948447535,-0.0754381554795785
86400.002,3600,86400,42,-0.087811331,-0.0993267861552881,-0.0762599182726555
86400.002,3600,86400,20,-0.08926643,-0.0899518195746196,-0.0885809122376522
86400.002,3600,172800,86400,,,
86400.002,3600,172800,43200,,,
86400.002,3600,172800,21600,,,
86400.002,3600,172800,10800,-0.147161862,-0.237810026547484,-0.0540633304183109
86400.002,3600,172800,5400,-0.111378635,-0.173931481555523,-0.0477188261064685
86400.002,3600,172800,2700,-0.039037914,-0.0720117197942209,-0.00578263356270503
86400.002,3600,172800,1350,-0.038904236,-0.0643318211404182,-0.0133096487618439
86400.002,3600,172800,675,-0.041867064,-0.0651806825420111,-0.018412701955835
86400.002,3600,172800,338,-0.043440774,-0.0847963454030369,-0.00163929696138616
86400.002,3600,172800,169,-0.044635815,-0.0862297634588651,-0.00259020423519069
86400.002,3600,172800,84,-0.026966469,-0.0361883677048861,-0.0177229697735896
86400.002,3600,172800,42,-0.027752027,-0.0380491019541131,-0.0174279905106456
86400.002,3600,172800,20,-0.026990677,-0.0274953352248538,-0.0264859545312003
86400.002,3600,345600,86400,,,
86400.002,3600,345600,43200,,,
86400.002,3600,345600,21600,,,
86400.002,3600,345600,10800,-0.088874619,-0.168679039532457,-0.00730345248023778
86400.002,3600,345600,5400,-0.014455436,-0.0722538015469642,0.0441920619698429
86400.002,3600,345600,2700,-0.006353068,-0.0289441150026077,0.0163653562530727
86400.002,3600,345600,1350,-0.009973332,-0.0274023257815328,0.00753165357819995
86400.002,3600,345600,675,-0.009486063,-0.0290908298303079,0.0102148595225255
86400.002,3600,345600,338,-0.011810322,-0.0399776589060969,0.0165564364260212
86400.002,3600,345600,169,-0.007535067,-0.0409083841473565,0.0261173814119661
86400.002,3600,345600,84,0.005123361,-0.00228168825864977,0.0125418863481588
86400.002,3600,345600,42,0.005607731,-0.00220628247177167,0.0134367449402774
86400.002,3600,345600,20,0.00582641,0.00546759928050018,0.00618525324548344
86400.002,3600,691200,86400,,,
86400.002,3600,691200,43200,-0.396086626,-0.560508776008696,-0.219447472481299
86400.002,3600,691200,21600,,,
86400.002,3600,691200,10800,0.075287564,-0.170947806820101,0.336586215677247
86400.002,3600,691200,5400,0.019446094,-0.0275529341515847,0.0669859418522348
86400.002,3600,691200,2700,0.025552557,0.0060322736874211,0.0451648942061612
86400.002,3600,691200,1350,0.022567497,0.00718227628515219,0.0380100088993194
86400.002,3600,691200,675,0.025357938,0.00992639281877562,0.0408469635476508
86400.002,3600,691200,338,0.016737578,-0.00795327386118665,0.0415771914391106
86400.002,3600,691200,169,0.014179274,-0.00323033224162574,0.0316628876425153
86400.002,3600,691200,84,0.021604654,0.0154601628002362,0.0277582712468549
86400.002,3600,691200,42,0.021050102,0.0161744810369587,0.0259314701037558
86400.002,3600,691200,20,0.021770032,0.0215454588730031,0.0219946166755536
86400.002,3600,1382400,86400,,,
86400.002,3600,1382400,43200,,,
86400.002,3600,1382400,21600,,,
86400.002,3600,1382400,10800,0.185673205,-0.127939854189199,0.521834095349217
86400.002,3600,1382400,5400,0.018155534,-0.0340886082053808,0.0710697917245655
86400.002,3600,1382400,2700,0.001534579,-0.00780711684757687,0.0108978096416834
86400.002,3600,1382400,1350,0.003452313,-0.00962942089347838,0.0165762351605979
86400.002,3600,1382400,675,0.000296889,-0.0101204561904332,0.0107410536822281
86400.002,3600,1382400,338,-0.002904976,-0.019884547824357,0.0141461961693724
86400.002,3600,1382400,169,-0.003363186,-0.0203773952202282,0.0137229489907007
86400.002,3600,1382400,84,-0.004337882,-0.00844096131734581,-0.000230629913630163
86400.002,3600,1382400,42,-0.005018515,-0.00800901622324871,-0.0020257959852786
86400.002,3600,1382400,20,-0.004310859,-0.00449291989161846,-0.00412878905337881
86400.002,3600,2764800,86400,-0.424928854,-0.654144767272512,-0.168784700677477
86400.002,3600,2764800,43200,-0.4375045,-0.50799249779188,-0.364755164094426
86400.002,3600,2764800,21600,,,
86400.002,3600,2764800,10800,0.038252719,-0.113645328156481,0.195884065739566
86400.002,3600,2764800,5400,0.012970817,-0.0193081178839178,0.0455054668022296
86400.002,3600,2764800,2700,0.011511011,0.00451069917085869,0.0185232879528182
86400.002,3600,2764800,1350,0.011783884,0.00362148629483758,0.0199625504659355
86400.002,3600,2764800,675,0.012026993,0.00389772890123286,0.0201723905642491
86400.002,3600,2764800,338,0.017778241,0.00375022612128583,0.0318540940408235
86400.002,3600,2764800,169,0.015930123,0.00551548841704572,0.0263711485730278
86400.002,3600,2764800,84,0.008558756,0.00546716211362876,0.0116526890909322
86400.002,3600,2764800,42,0.008849118,0.00593561948683251,0.0117646919446588
86400.002,3600,2764800,20,0.009201996,0.00907648734858095,0.00932750926744012
86400.002,3600,5529600,86400,,,
86400.002,3600,5529600,43200,,,
86400.002,3600,5529600,21600,,,
86400.002,3600,5529600,10800,0.054899414,-0.0466221911765287,0.158897454202201
86400.002,3600,5529600,5400,-0.004942399,-0.0261160229045461,0.0163429174640936
86400.002,3600,5529600,2700,-0.001264772,-0.00767054929568436,0.0051511511875925
86400.002,3600,5529600,1350,6.85e-06,-0.00582125820408471,0.00584333727371004
86400.002,3600,5529600,675,-0.001190198,-0.00586226821789094,0.0034872665027641
86400.002,3600,5529600,338,0.005199787,-0.00161150156338368,0.0120224748890455
86400.002,3600,5529600,169,0.006755243,-0.00130937032692273,0.0148358164700491
86400.002,3600,5529600,84,-0.003124472,-0.00504680521777633,-0.00120122499669487
86400.002,3600,5529600,42,-0.003474002,-0.00550384652717955,-0.00144313781145635
86400.002,3600,5529600,20,-0.003073557,-0.00314300915514309,-0.0030041045215869
86400.002,3600,86400,86400,,,
86400.002,3600,86400,43200,,,
86400.002,3600,86400,21600,,,
86400.002,3600,86400,10800,-0.011333708,-0.191832931375366,0.177790317881906
86400.002,3600,86400,5400,0.059796905,-0.0316886848167859,0.153277778323539
86400.002,3600,86400,2700,0.085879044,0.0330067066163289,0.139394419505637
86400.002,3600,86400,1350,0.083223586,0.0221492405646588,0.145159976368475
86400.002,3600,86400,675,0.071963955,0.0121149176038225,0.132649354863638
86400.002,3600,86400,338,0.110498119,0.035781243406127,0.186477587333513
86400.002,3600,86400,169,0.103783607,0.0100519246582263,0.199525379536478
86400.002,3600,86400,84,0.05692152,0.0436701588984923,0.0702139742624012
86400.002,3600,86400,42,0.057757027,0.0418481858644141,0.0737250881637542
86400.002,3600,86400,20,0.053620713,0.052751000953812,0.0544906013027966
86400.002,3600,172800,86400,,,
86400.002,3600,172800,43200,,,
86400.002,3600,172800,21600,-0.169854818,-0.479018285696219,0.172641860255507
86400.002,3600,172800,10800,-0.125836199,-0.232275765356726,-0.0160828843905104
86400.002,3600,172800,5400,-0.055393332,-0.115976563263977,0.00616485399204234
86400.002,3600,172800,2700,-0.015965792,-0.0675396946417176,0.0362840016266587
86400.002,3600,172800,1350,-0.018104627,-0.0608219871507418,0.0250762480117868
86400.002,3600,172800,675,-0.02275517,-0.0614687031065387,0.0163404542809481
86400.002,3600,172800,338,0.026772208,-0.0640587626799467,0.119634665861816
86400.002,3600,172800,169,0.033247009,-0.0671356570142801,0.136102339843704
86400.002,3600,172800,84,-0.032970751,-0.0456758877973428,-0.0202243200719955
86400.002,3600,172800,42,-0.033122287,-0.0448567765560794,-0.0213525754381485
86400.002,3600,172800,20,-0.03393793,-0.0345577379128207,-0.0333180239077957
86400.002,3600,345600,86400,,,
86400.002,3600,345600,43200,,,
86400.002,3600,345600,21600,-0.13833416,-0.33701620141133,0.0725952828308519
86400.002,3600,345600,10800,-0.12767581,-0.186537201969204,-0.067816828269873
86400.002,3600,345600,5400,0.004365458,-0.0911445518833597,0.102176716368391
86400.002,3600,345600,2700,-0.006783273,-0.0291995236980817,0.0157584405361426
86400.002,3600,345600,1350,-0.00263686,-0.0250825578684925,0.019934103952707
86400.002,3600,345600,675,-0.005204378,-0.0299131589391453,0.0196566891090325
86400.002,3600,345600,338,0.029332539,-0.00709793715530714,0.0660838703850298
86400.002,3600,345600,169,0.032737957,-0.0115160009661062,0.0774647964836842
86400.002,3600,345600,84,-0.00459094,-0.0117466344433011,0.00257746029912797
86400.002,3600,345600,42,-0.004805047,-0.0125791452594981,0.00298405282041696
86400.002,3600,345600,20,-0.004512577,-0.00487297949332538,-0.00415214306769687
86400.002,3600,691200,86400,,,
86400.002,3600,691200,43200,,,
86400.002,3600,691200,21600,-0.27511908,-0.390692161256041,-0.154768026542704
86400.002,3600,691200,10800,-0.196361051,-0.233352961730372,-0.158944145416842
86400.002,3600,691200,5400,-0.058665288,-0.118358804076639,0.00197784252846117
86400.002,3600,691200,2700,-0.064733601,-0.0770134610612431,-0.0524138560953345
86400.002,3600,691200,1350,-0.064450742,-0.077312533273484,-0.0515452015377393
86400.002,3600,691200,675,-0.063938448,-0.0773780569816188,-0.0504510903951722
86400.002,3600,691200,338,-0.041221621,-0.0730836348075698,-0.00909627284501821
86400.002,3600,691200,169,-0.046580347,-0.0696733145203627,-0.0233486089013935
86400.002,3600,691200,84,-0.058649386,-0.0633901069915766,-0.0539027708568064
86400.002,3600,691200,42,-0.058761803,-0.0638527417953135,-0.0536640662973327
86400.002,3600,691200,20,-0.05787603,-0.0581136219804461,-0.0576384227167062
86400.002,3600,1382400,86400,,,
86400.002,3600,1382400,43200,,,
86400.002,3600,1382400,21600,,,
86400.002,3600,1382400,10800,-0.049847107,-0.185356223123123,0.0906410474107023
86400.002,3600,1382400,5400,-0.005414457,-0.0599864814056746,0.0499068328060926
86400.002,3600,1382400,2700,-0.033191944,-0.0451952886706151,-0.0211517409617832
86400.002,3600,1382400,1350,-0.032858793,-0.0413680663764998,-0.0243310200585139
86400.002,3600,1382400,675,-0.034801558,-0.0466953309693853,-0.0228715357972554
86400.002,3600,1382400,338,-0.023562687,-0.0455269771250372,-0.00147587502295327
86400.002,3600,1382400,169,-0.023406365,-0.0498357798469416,0.0032006371706129
86400.002,3600,1382400,84,-0.032806499,-0.036280812830356,-0.0293291044950257
86400.002,3600,1382400,42,-0.033201788,-0.0377242203908791,-0.0286741335347814
86400.002,3600,1382400,20,-0.032604177,-0.0327787370382768,-0.0324296096121431
86400.002,3600,2764800,86400,,,
86400.002,3600,2764800,43200,-0.508186833,-0.58141015313313,-0.432148196540595
86400.002,3600,2764800,21600,-0.149237014,-0.409675406825307,0.133362921031345
86400.002,3600,2764800,10800,-0.003367368,-0.147843113255498,0.146508939157165
86400.002,3600,2764800,5400,-0.002247332,-0.0453685991370416,0.041338712433861
86400.002,3600,2764800,2700,-0.029641141,-0.0378337892745893,-0.0214314029044939
86400.002,3600,2764800,1350,-0.031229856,-0.0381321894572117,-0.0243153755174505
86400.002,3600,2764800,675,-0.031860084,-0.0398193519716694,-0.023884648338726
86400.002,3600,2764800,338,-0.027903434,-0.0390848299975661,-0.0166902352598096
86400.002,3600,2764800,169,-0.025482105,-0.0400724552907386,-0.0108376899381344
86400.002,3600,2764800,84,-0.028791478,-0.0316599927944317,-0.0259208728154947
86400.002,3600,2764800,42,-0.028528089,-0.0311941758582611,-0.0258601965475632
86400.002,3600,2764800,20,-0.028158773,-0.0282742193078243,-0.0280433238112693
86400.002,3600,5529600,86400,-0.55711861,-0.67044217905946,-0.435947344698963
86400.002,3600,5529600,43200,,,
86400.002,3600,5529600,21600,0.120390624,-0.379012581322959,0.687763121240647
86400.002,3600,5529600,10800,0.018726462,-0.045481638751842,0.0839496621188853
86400.002,3600,5529600,5400,0.013524622,-0.0139927700620953,0.0412275128610942
86400.002,3600,5529600,2700,0.003797401,-0.00234942197585838,0.00995351940715554
86400.002,3600,5529600,1350,0.005006436,-0.00103292760252165,0.0110547605280239
86400.002,3600,5529600,675,0.004317316,-0.00149315697993231,0.0101360899692016
86400.002,3600,5529600,338,0.011274472,0.000405261227996822,0.022172565209832
86400.002,3600,5529600,169,0.010004363,0.00136835661975199,0.0186586155272481
86400.002,3600,5529600,84,0.005869363,0.00357008971909688,0.0081699324554894
86400.002,3600,5529600,42,0.005954036,0.00389223784679859,0.00801687754584772
86400.002,3600,5529600,20,0.00610705,0.00601718926527414,0.0061969137096958
86400.002,3600,86400,86400,,,
86400.002,3600,86400,43200,,,
86400.002,3600,86400,21600,,,
86400.002,3600,86400,10800,-0.08142393,-0.353141907795399,0.212507601297906
86400.002,3600,86400,5400,-0.090902817,-0.160672535323155,-0.0197843507475543
86400.002,3600,86400,2700,-0.040006009,-0.0993720138036111,0.0202805293796089
86400.002,3600,86400,1350,-0.049227853,-0.0936175224567747,-0.00432081605694608
86400.002,3600,86400,675,-0.045101549,-0.0871676756973904,-0.00257315326582908
86400.002,3600,86400,338,-0.027396318,-0.0838402376867426,0.0298680298531648
86400.002,3600,86400,169,-0.03236164,-0.0952325860944028,0.0315345506895069
86400.002,3600,86400,84,-0.028097977,-0.0439272499588119,-0.0122048764545332
86400.002,3600,86400,42,-0.02905098,-0.046987743263308,-0.0110321342681373
86400.002,3600,86400,20,-0.027780053,-0.0286079208674517,-0.0269520107682018
86400.002,3600,172800,86400,,,
86400.002,3600,172800,43200,,,
86400.002,3600,172800,21600,,,
86400.002,3600,172800,10800,0.11684633,-0.161069804866204,0.413413742747883
86400.002,3600,172800,5400,0.020240773,-0.0512148276700116,0.0929543652644915
86400.002,3600,172800,2700,0.026929337,-0.00417944879964616,0.0582723056969679
86400.002,3600,172800,1350,0.03316016,0.000322372535480859,0.0662574162584163
86400.002,3600,172800,675,0.030487993,-0.00409942183869483,0.0653641493615046
86400.002,3600,172800,338,0.037741175,0.00431611696026167,0.0714339104106621
86400.002,3600,172800,169,0.046168603,0.00144896136034563,0.0913649176307035
86400.002,3600,172800,84,0.052475997,0.0409956915904533,0.0639872630413004
86400.002,3600,172800,42,0.051832791,0.0382562459033612,0.0654526834496874
