tau_p,duration,error,error_lci,error_uci
86400,172800,-0.121256962,-0.977752152,2.24157714
86400,172800,-0.915355962,-0.997856999,-0.687758348
86400,172800,-0.486411562,-0.986997067,0.894565835
86400,172800,-0.270039983,-0.981519012,1.692734508
86400,172800,-0.143861423,-0.978324448,2.158192008
86400,345600,-0.554921859,-0.908214187,0.071850187
86400,172800,-0.508615109,-0.987559212,0.812659628
86400,345600,0.388902841,-0.713574844,2.344796408
86400,345600,-0.452911922,-0.887177286,0.317513496
86400,345600,-0.770965418,-0.952767563,-0.448432226
86400,172800,-0.656669305,-0.991307619,0.266505547
86400,172800,-0.476991725,-0.986758577,0.92931448
86400,691200,-0.51255059,-0.821114658,-0.052046402
86400,172800,-0.784573452,-0.994545872,-0.205317433
86400,691200,-0.008539589,-0.636151503,0.928114887
86400,172800,-0.902665503,-0.997535704,-0.640944774
86400,345600,-0.660370049,-0.929960139,-0.182093228
86400,345600,-0.47867861,-0.892490996,0.255461407
86400,691200,-0.668231833,-0.87824693,-0.354803143
86400,345600,-0.753334837,-0.949131713,-0.405973747
86400,172800,-0.681712036,-0.991941646,0.17412593
86400,691200,-0.280029151,-0.735783388,0.400143158
86400,172800,-0.025039512,-0.975316138,2.596511714
86400,345600,-0.656244614,-0.929109375,-0.172158234
86400,172800,-0.918564014,-0.997938219,-0.699592464
86400,691200,-0.790658258,-0.92317527,-0.592888505
86400,172800,-0.869408467,-0.996693709,-0.518263576
86400,172800,-0.952787921,-0.998804694,-0.825840331
86400,172800,-0.726343657,-0.993071621,0.00948526
86400,172800,-0.895665375,-0.997358476,-0.615122144
86400,172800,-0.908381998,-0.997680433,-0.662032234
86400,172800,-0.976186032,-0.999397083,-0.912153143
86400,172800,-0.882831807,-0.997033558,-0.567780659
86400,172800,-0.935321257,-0.998362476,-0.761407913
86400,172800,-0.868006858,-0.996658223,-0.51309321
86400,172800,-0.93209961,-0.998280911,-0.749523646
86400,172800,-0.820919653,-0.995466078,-0.339394189
86400,172800,-0.801828936,-0.994982743,-0.268970834
86400,172800,-0.521865774,-0.987894689,0.763779521
86400,172800,-0.762358897,-0.993983448,-0.123370619
86400,172800,-0.661815117,-0.9914379,0.247523266
86400,172800,-0.70102781,-0.992430679,0.10287237
86400,345600,-0.410467811,-0.87842429,0.419728646
86400,172800,-0.999808522,-0.999995152,-0.999293661
86400,172800,-0.951620478,-0.998775137,-0.821533776
86400,172800,-0.866155734,-0.996611357,-0.506264636
86400,172800,-0.950660601,-0.998750835,-0.817992904
86400,172800,-0.909590089,-0.997711019,-0.666488738
86400,172800,-0.661503121,-0.991430001,0.248674182
86400,172800,-0.126589597,-0.977887163,2.22190569
86400,345600,-0.853928966,-0.969876641,-0.648227468
86400,172800,0.062931039,-0.973088916,2.921024469
86400,172800,-0.706131493,-0.992559894,0.084045498
86400,172800,-0.905456383,-0.997606363,-0.651239993
86400,172800,-0.397504886,-0.984746144,1.222531847
86400,172800,-0.927489082,-0.998164183,-0.732515965
86400,172800,-0.928923172,-0.998200491,-0.737806149
86400,345600,-0.773082745,-0.953204207,-0.453531236
86400,345600,-0.64119955,-0.926006721,-0.13592627
86400,345600,-0.89497662,-0.978341654,-0.747079628
86400,1382400,-0.447652481,-0.782883816,0.041364859
86400,345600,-0.502645409,-0.897433526,0.197743861
86400,691200,-0.626626123,-0.862978368,-0.273891602
86400,691200,-0.365653444,-0.910832573,0.702928546
86400,172800,-0.885386808,-0.997098245,-0.577205751
86400,172800,-0.959436697,-0.998973026,-0.850366864
86400,172800,-0.871299434,-0.996741584,-0.525239127
86400,172800,-0.969813425,-0.999235742,-0.888645362
86400,345600,-0.829444069,-0.964827267,-0.589262222
86400,345600,-0.681504514,-0.934318574,-0.232989862
86400,345600,-0.745499208,-0.947515818,-0.387103755
86400,172800,-0.957013464,-0.998911675,-0.841427852
86400,172800,-0.895710439,-0.997359617,-0.615288383
86400,1382400,0.096361014,-0.565882958,1.060034835
86400,345600,-0.417956992,-0.879968739,0.401692982
86400,345600,-0.798574462,-0.958461212,-0.514921134
86400,345600,-0.44377511,-0.885293056,0.339517034
86400,345600,-0.742605117,-0.946918987,-0.38013412
86400,345600,-0.27168298,-0.849803521,0.753954331
86400,345600,-0.523961945,-0.901829509,0.146408755
86400,345600,-0.701613163,-0.938465461,-0.281416099
86400,345600,-0.614752761,-0.920552758,-0.072236341
86400,345600,-0.242456436,-0.843776305,0.824338549
86400,345600,-0.712384696,-0.94068681,-0.30735642
86400,172800,-0.645388351,-0.99102201,0.308119627
86400,172800,-0.93554887,-0.998368239,-0.76224755
86400,691200,-0.68788105,-0.885457846,-0.393015408
86400,345600,-0.156685644,-0.826088306,1.030894275
86400,1382400,-0.146602574,-0.675504256,0.633538478
86400,691200,-0.359213131,-0.764842513,0.24615233
86400,345600,-0.793422893,-0.957398834,-0.502514974
86400,345600,-0.026338129,-0.799207515,1.34480097
86400,691200,-0.689072248,-0.885894995,-0.395331956
86400,345600,-0.163111538,-0.82741348,1.015419251
86400,691200,-0.723101383,-0.898383088,-0.461509163
86400,691200,-0.752672955,-0.909235333,-0.519017651
86400,345600,-0.131508096,-0.82089609,1.091527584
86400,691200,-0.412350221,-0.784342888,0.14281546
86400,345600,-0.604575721,-0.918454007,-0.047727696
86400,1382400,-0.523993421,-0.805888168,-0.117858349
86400,345600,-0.662411505,-0.930381136,-0.18700952
86400,345600,-0.937723035,-0.987156993,-0.850022792
86400,1382400,-0.114510525,-0.703823476,0.791756704
86400,691200,-0.357664414,-0.764274161,0.249164154
86400,691200,-0.632560252,-0.865156088,-0.285431833
86400,345600,-0.907522488,-0.980928914,-0.777292953
86400,691200,1.314816758,-0.742151834,5.576978505
86400,345600,-0.878388777,-0.974920842,-0.707132299
86400,691200,-0.278305108,-0.735150694,0.403495943
86400,345600,-0.771059083,-0.952786879,-0.448657792
86400,345600,-0.548429961,-0.906875402,0.087484163
86400,691200,-0.230475096,-0.916600483,1.200237533
86400,691200,-0.363578247,-0.933907597,0.837332994
86400,691200,-0.1208637,-0.677372472,0.709675715
86400,691200,-0.659649911,-0.875097516,-0.33811369
86400,691200,-0.076560659,-0.862221742,1.440734996
86400,691200,0.013654355,-0.628006717,0.971275938
86400,691200,1.537794289,-0.901806898,7.80252098
86400,1382400,-0.567428497,-0.763509134,-0.313126016
86400,691200,-0.619268838,-0.860278374,-0.259583728
86400,1382400,-0.352235654,-0.739839805,0.209092642
86400,1382400,-0.063781754,-0.643210272,0.790248288
86400,691200,1.608959057,-0.82224492,7.214594206
86400,691200,-0.479032586,-0.808814141,0.013136798
86400,691200,-0.385767628,-0.774587545,0.194511216
86400,691200,-0.565168525,-0.840424512,-0.154373658
86400,345600,-0.518769036,-0.900758606,0.158914471
86400,1382400,-0.321986618,-0.812566164,0.478185245
86400,691200,-0.673059432,-0.880018574,-0.36419148
86400,1382400,-0.299490054,-0.749985589,0.378980348
86400,1382400,-0.11607862,-0.660472586,0.684208791
86400,691200,1.32551613,-0.8460717,6.362061177
86400,345600,-0.823672657,-0.963637063,-0.575363339
86400,345600,-0.44052128,-0.884622037,0.347353004
86400,691200,0.007598852,-0.936118882,2.215435449
86400,2764800,0.028514596,-0.408329967,0.584152106
86400,691200,-0.459709393,-0.881190376,0.27484909
86400,691200,-0.26053771,-0.915033782,1.085864691
86400,1382400,-0.515499638,-0.769860812,-0.168063353
86400,691200,-0.691094786,-0.886637231,-0.39926523
86400,1382400,0.019147407,-0.608765123,0.942396132
86400,691200,-0.271328768,-0.7325905,0.417062986
86400,691200,-0.563570361,-0.839838014,-0.151265674
